v1	v2	v3	v4	v5	v6	v7
""	"(1)"	"(2)"	"(3)"	"(4)"	"(5)"	"(6)"
""	"output_l_uc_1"	"output_l_uc_2"	"output_l_uc_3"	"output_tfp_acf_4"	"output_tfp_acf_5"	"output_tfp_acf_6"
"Plant Experience"	"-0.072***"	"-0.072***"	"-0.069***"	"0.479***"	"0.485***"	"0.484***"
""	"(0.002)"	"(0.002)"	"(0.002)"	"(0.011)"	"(0.011)"	"(0.011)"
"Targeted × Plant Experience"	"-0.009***"	"-0.008***"	"-0.005***"	"0.032***"	"0.014*"	"0.018**"
""	"(0.001)"	"(0.001)"	"(0.001)"	"(0.007)"	"(0.008)"	"(0.007)"
"Industry Experience"	""	"-0.008***"	"-0.006**"	""	"0.022"	"0.026*"
""	""	"(0.003)"	"(0.003)"	""	"(0.014)"	"(0.015)"
"Targeted × Industry Experience"	""	"-0.002**"	"-0.003***"	""	"0.030***"	"0.030***"
""	""	"(0.001)"	"(0.001)"	""	"(0.009)"	"(0.009)"
"Control for Plant Size"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Control for Capital"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Control for Skill Ratio"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Control for Investment"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Control for Intermediates"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Polynomial Controls"	"No"	"No"	"Yes"	"No"	"No"	"Yes"
"Plant Effect"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Year Effect"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"Industry Effect"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"
"R2"	"0.882"	"0.882"	"0.890"	"0.691"	"0.691"	"0.694"
"Observations"	"250989"	"250989"	"250989"	"235940"	"235940"	"235940"
"Clusters (Industry and Plant)"	"489 x 60009"	"489 x 60009"	"489 x 60009"	"489 x 57942"	"489 x 57942"	"489 x 57942"
"Linear Combination (Plant-Level)"	"-0.081"	"-0.080"	"-0.073"	"0.510"	"0.499"	"0.502"
"(St.Err.)"	"(0.002)"	"(0.002)"	"(0.002)"	"(0.013)"	"(0.013)"	"(0.013)"
"Linear Combination (Industry-Level)"	""	"-0.010"	"-0.009"	""	"0.052"	"0.056"
"(St.Err.)"	""	"(0.003)"	"(0.003)"	""	"(0.014)"	"(0.015)"
